id,priority,category,rule_name,do,dont,reference
form-02,8,forms,error-placement,Show error message directly below the field that failed,Error summary only at top of page with no field-level indicator,WCAG Material Design
form-03,8,forms,inline-validation,Validate on blur (field loses focus) not on each keystroke,Showing errors while user is still typing the first character,Material Design
form-04,8,forms,submit-feedback,Show loading spinner then success/error state after submit,No feedback after submit — user cannot tell if action completed,Material Design
form-05,8,forms,focus-management,After submit with errors auto-focus the first invalid field,Page stays scrolled to bottom; user must hunt for red fields,WCAG
form-06,8,forms,error-recovery,Error message includes what went wrong AND how to fix it,Error says only Invalid input with no guidance,Apple HIG Material Design
form-07,8,forms,progressive-disclosure,Reveal complex options progressively; show only essential fields first,Presenting 20-field form on first screen — overwhelming,Apple HIG
nav-01,9,navigation,bottom-nav-limit,Bottom navigation maximum 5 items; always include icon and text label,6+ items in bottom nav — crowded; icon-only nav without labels,Material Design Apple HIG
nav-02,9,navigation,back-behavior,Back navigation predictable and consistent; preserves scroll and state,Back navigates to wrong screen; scroll position reset; state lost,Apple HIG Material Design
nav-03,9,navigation,deep-linking,All key screens reachable via deep link URL for sharing and notifications,No deep link config — push notification opens home screen only,Apple HIG Material Design
nav-04,9,navigation,modal-escape,Modals and sheets have clear close affordance; swipe-down to dismiss,Modal with no close button; swipe-down not supported on sheet,Apple HIG
nav-05,9,navigation,state-preservation,Back navigation restores scroll position filter state and input values,Back clears all filters and resets scroll to top — frustrating UX,Apple HIG Material Design
nav-06,9,navigation,adaptive-navigation,Large screens (≥1024px) use sidebar; small screens use bottom or top nav,Same bottom nav on iPad as iPhone — wastes space and looks wrong,Material Adaptive Design
chart-01,10,charts,chart-type-match,Match chart type to data type: trend=line comparison=bar proportion=donut,Pie chart for 10+ categories; bar chart for continuous time series,Data visualization principles
chart-02,10,charts,legend-visible,Always show legend positioned near chart not hidden below scroll fold,Legend below the fold; legend absent entirely,Material Design
chart-03,10,charts,tooltip-on-interact,Tooltips on hover (web) or tap (mobile) showing exact values with units,No tooltip — user cannot read precise values from visual only,Apple HIG Material Design
chart-04,10,charts,accessible-colors,Use accessible palette that works for color-blind users; supplement with pattern,Red/green only color distinction for pass/fail data — fails colorblind,WCAG Material Design
chart-05,10,charts,empty-data-state,Show meaningful empty state when no data (no data yet + guidance),Empty axis frame with no data and no explanation,Material Design
chart-06,10,charts,responsive-chart,Charts reflow or simplify on small screens (horizontal bar fewer ticks),Full-width desktop chart rendered identically on 375px phone,Responsive design
